player,position,club,team,minutes,minutes_90s,goals,assists,goals_per90,assists_per90,xg,xg_assist_per90,xg_per90,cards_yellow,cards_red,tackles_won,interceptions,blocked_passes,blocked_shots,clearances
Facundo Pellistri,MF,Manchester Utd,Uruguay,181,2.0,0,0,0.0,0.0,0.2,0.09,0.08,0,0,1,0,1,0,2
Gaël Ondoua,MF,Hannover 96,Cameroon,47,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,1,0,0
José Cifuentes,MF,Los Angeles FC,Ecuador,59,0.7,0,0,0.0,0.0,0.0,0.0,0.03,0,0,2,0,1,0,1
Daniel Kyereh,MF,Freiburg,Ghana,33,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,4
Marcus Rashford,FW,Manchester Utd,England,140,1.6,3,0,1.93,0.0,1.6,0.0,1.03,0,0,0,1,2,0,1
Karol Świderski,FW,Charlotte,Poland,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,0,0,0
Bamba Dieng,FW,Marseille,Senegal,100,1.1,1,0,0.9,0.0,0.5,0.05,0.45,0,0,1,0,2,0,0
Christian Eriksen,MF,Manchester Utd,Denmark,270,3.0,0,0,0.0,0.0,0.2,0.14,0.06,0,0,0,0,3,2,1
Rubin Colwill,MF,Cardiff City,Wales,10,0.1,0,0,0.0,0.0,0.0,0.0,0.21,0,0,0,0,1,0,0
Takumi Minamino,FW,Monaco,Japan,60,0.7,0,0,0.0,0.0,0.1,0.0,0.36,0,0,1,0,0,0,1
Kenneth Taylor,MF,Ajax,Netherlands,5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Marcus Thuram,FW,M'Gladbach,France,151,1.7,0,2,0.0,1.19,0.2,0.16,0.16,1,0,2,0,2,0,2
Thorgan Hazard,FW,Dortmund,Belgium,106,1.2,0,0,0.0,0.0,0.0,1.07,0.0,0,0,2,0,4,0,0
Ao Tanaka,MF,Düsseldorf,Japan,171,1.9,1,0,0.53,0.0,1.0,0.05,0.55,0,0,1,3,4,1,2
Federico Valverde,MF,Real Madrid,Uruguay,270,3.0,0,0,0.0,0.0,0.2,0.14,0.06,0,0,4,5,6,0,1
Pape Abou Cissé,DF,Olympiacos,Senegal,105,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,2,6
Rúben Neves,MF,Wolves,Portugal,268,3.0,0,0,0.0,0.0,0.1,0.01,0.03,1,0,1,3,2,1,5
Sardar Azmoun,FW,Leverkusen,IR Iran,126,1.4,0,0,0.0,0.0,0.9,0.05,0.67,0,0,0,0,0,0,1
Thomas Delaney,MF,Sevilla,Denmark,44,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
Denzel Dumfries,DF,Inter,Netherlands,479,5.3,1,2,0.19,0.38,0.4,0.06,0.08,2,1,5,7,4,1,6
Edouard Mendy,GK,Chelsea,Senegal,360,4.0,0,0,0.0,0.0,0.0,0.01,0.0,0,0,0,0,1,0,3
Jonas Hofmann,FW,M'Gladbach,Germany,30,0.3,0,0,0.0,0.0,0.3,0.16,0.82,0,0,0,0,2,0,0
Miloš Veljković,DF,Werder Bremen,Serbia,221,2.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,2,7
Simon Kjær,DF,Milan,Denmark,64,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,1,2
Damian Szymański,MF,AEK Athens,Poland,29,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
Daniel Amartey,DF,Leicester City,Ghana,251,2.8,0,0,0.0,0.0,0.2,0.03,0.08,2,0,4,3,1,3,12
Jewison Bennette,MF,Sunderland,Costa Rica,103,1.1,0,0,0.0,0.0,0.0,0.0,0.04,0,0,0,0,2,0,0
Piero Hincapié,DF,Leverkusen,Ecuador,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4,2,2,0,9
Alireza Beiranvand,GK,Persepolis,IR Iran,109,1.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
Strahinja Pavlović,DF,RB Salzburg,Serbia,235,2.6,1,0,0.38,0.0,0.2,0.0,0.07,2,0,2,1,5,1,7
Ehsan Hajsafi,MF,AEK Athens,IR Iran,237,2.6,0,0,0.0,0.0,0.2,0.08,0.06,0,0,3,2,3,0,2
Kaoru Mitoma,MF,Brighton,Japan,165,1.8,0,1,0.0,0.55,0.1,0.83,0.05,0,0,2,2,3,1,5
Lee Jae-sung,MF,Mainz 05,Korea Republic,211,2.3,0,0,0.0,0.0,0.0,0.02,0.01,0,0,2,3,3,0,2
Munir,GK,Al-Wehda,Morocco,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Sadegh Moharrami,DF,Dinamo Zagreb,IR Iran,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,3
Agustín Canobbio,MF,Atl Paranaense,Uruguay,11,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
Hwang Hee-chan,MF,Wolves,Korea Republic,115,1.3,1,0,0.78,0.0,0.9,0.03,0.72,1,0,1,0,0,0,0
Saleh Al-Shehri,FW,Al-Hilal,Saudi Arabia,223,2.5,1,0,0.4,0.0,0.1,0.05,0.03,1,0,1,0,2,1,2
Stefan Mitrović,DF,Getafe,Serbia,35,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Homam Ahmed,DF,Al-Gharafa Sports Club,Qatar,262,2.9,0,0,0.0,0.0,0.0,0.01,0.0,1,0,2,2,0,0,1
Steven Berghuis,MF,Ajax,Netherlands,200,2.2,0,1,0.0,0.45,0.3,0.04,0.13,1,0,1,0,1,0,0
Ali Al-Bulaihi,DF,Al-Hilal,Saudi Arabia,216,2.4,0,0,0.0,0.0,0.0,0.0,0.0,1,0,2,3,0,1,1
Marko Livaja,FW,Hajduk Split,Croatia,241,2.7,1,1,0.37,0.37,0.8,0.03,0.31,0,0,2,1,1,0,1
Wayne Hennessey,GK,Nott'ham Forest,Wales,175,1.9,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Gio Reyna,FW,Dortmund,United States,53,0.6,0,0,0.0,0.0,0.1,0.28,0.1,0,0,0,0,1,0,0
Jakub Kiwior,DF,Spezia,Poland,355,3.9,0,0,0.0,0.0,0.0,0.0,0.01,1,0,1,4,2,2,15
Randal Kolo Muani,FW,Eint Frankfurt,France,182,2.0,1,0,0.49,0.0,1.1,0.0,0.65,0,0,5,1,1,0,1
Georges-Kévin N'Koudou,FW,Beşiktaş,Cameroon,27,0.3,0,0,0.0,0.0,0.0,0.0,0.13,0,0,0,0,0,0,0
Nuno Mendes,DF,Paris S-G,Portugal,41,0.5,0,0,0.0,0.0,0.0,0.04,0.0,0,0,0,2,1,0,0
Rafael Leão,FW,Milan,Portugal,88,1.0,2,0,2.05,0.0,0.4,0.16,0.42,0,0,0,1,0,0,0
Ilias Chair,MF,QPR,Morocco,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Mario Pašalić,FW,Atalanta,Croatia,271,3.0,0,0,0.0,0.0,0.3,0.07,0.1,0,0,5,3,4,2,3
Teun Koopmeiners,MF,Atalanta,Netherlands,219,2.4,0,1,0.0,0.41,0.1,0.09,0.04,1,0,5,4,1,1,4
Hong Chul,DF,Daegu,Korea Republic,45,0.5,0,0,0.0,0.0,0.0,0.13,0.0,0,0,0,1,1,1,1
Mohammed Al-Owais,GK,Al-Hilal,Saudi Arabia,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,4
Pierre Højbjerg,MF,Tottenham,Denmark,270,3.0,0,0,0.0,0.0,0.0,0.01,0.01,0,0,2,3,2,1,6
Zakaria Aboukhlal,FW,Toulouse,Morocco,79,0.9,1,0,1.14,0.0,1.0,0.0,1.16,0,0,1,1,2,0,1
Daichi Kamada,FW,Eint Frankfurt,Japan,322,3.6,0,0,0.0,0.0,0.6,0.01,0.18,0,0,3,0,3,0,3
Abdelhamid Sabiri,MF,Sampdoria,Morocco,181,2.0,0,1,0.0,0.5,0.1,0.53,0.08,1,0,1,5,2,1,3
Jules Koundé,DF,Barcelona,France,480,5.3,0,0,0.0,0.0,0.2,0.01,0.04,1,0,8,5,3,4,8
Jurriën Timber,DF,Ajax,Netherlands,390,4.3,0,0,0.0,0.0,0.0,0.0,0.0,1,0,6,10,1,0,13
Kim Jin-su,DF,Jeonbuk,Korea Republic,315,3.5,0,1,0.0,0.29,0.3,0.17,0.09,0,0,5,3,2,0,5
Kim Moonhwan,DF,Jeonbuk,Korea Republic,360,4.0,0,0,0.0,0.0,0.0,0.15,0.0,0,0,4,4,2,1,16
Cody Gakpo,FW,PSV Eindhoven,Netherlands,450,5.0,3,0,0.6,0.0,0.3,0.12,0.06,0,0,2,3,9,1,6
Michel Aebischer,MF,Bologna,Switzerland,16,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Marquinhos,DF,Paris S-G,Brazil,426,4.7,0,0,0.0,0.0,0.2,0.17,0.04,1,0,4,2,5,1,6
Milad Mohammadi,DF,AEK Athens,IR Iran,196,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,2,0,6
Bryan Mbeumo,FW,Brentford,Cameroon,233,2.6,0,0,0.0,0.0,0.2,0.11,0.08,0,0,0,1,1,0,2
Christian Bassogog,MF,Shanghai Shen,Cameroon,24,0.3,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
Leander Dendoncker,DF,Aston Villa,Belgium,161,1.8,0,0,0.0,0.0,0.1,0.2,0.05,1,0,3,0,1,3,5
Guillermo Ochoa,GK,América,Mexico,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Kamaldeen Sulemana,FW,Rennes,Ghana,58,0.6,0,0,0.0,0.0,0.1,0.0,0.09,1,0,0,0,0,0,2
Andries Noppert,GK,Heerenveen,Netherlands,480,5.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4
Aurélien Tchouaméni,MF,Real Madrid,France,621,6.9,1,0,0.14,0.0,0.3,0.16,0.05,1,0,4,14,2,1,6
Fabian Schär,DF,Newcastle Utd,Switzerland,135,1.5,0,0,0.0,0.0,0.1,0.0,0.09,2,0,1,2,0,1,7
Julián Álvarez,FW,Manchester City,Argentina,464,5.2,4,0,0.78,0.0,2.6,0.02,0.51,0,0,2,0,8,0,3
Robert Skov,DF,Hoffenheim,Denmark,22,0.2,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
Haris Seferović,FW,Galatasaray,Switzerland,71,0.8,0,0,0.0,0.0,0.2,0.03,0.24,0,0,0,0,0,2,0
Hossein Kanaanizadegan,DF,Al Ahli SC,IR Iran,45,0.5,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,2
Eray Cömert,DF,Valencia,Switzerland,46,0.5,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1,0,2
Hirving Lozano,FW,Napoli,Mexico,252,2.8,0,0,0.0,0.0,0.2,0.36,0.07,0,0,2,0,4,0,1
Hossein Hosseini,GK,Esteghlal,IR Iran,161,1.8,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Michał Skóraś,MF,Lech Poznań,Poland,45,0.5,0,0,0.0,0.0,0.0,0.0,0.04,0,0,0,1,1,0,0
Nawaf Al Abed,MF,Al-Shabab,Saudi Arabia,88,1.0,0,0,0.0,0.0,0.1,0.06,0.13,1,0,0,1,0,0,0
Sergio Rochet,GK,Nacional,Uruguay,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
Giorgian De Arrascaeta,MF,Flamengo,Uruguay,108,1.2,2,0,1.67,0.0,1.2,0.45,1.01,0,0,1,2,1,0,1
Jackson Irvine,MF,St. Pauli,Australia,354,3.9,0,0,0.0,0.0,0.5,0.01,0.13,2,0,2,3,7,0,8
Nicolás Tagliafico,DF,Lyon,Argentina,373,4.1,0,0,0.0,0.0,1.0,0.05,0.26,0,0,7,9,8,1,9
Sorba Thomas,MF,Huddersfield,Wales,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Denis Zakaria,MF,Chelsea,Switzerland,59,0.7,0,0,0.0,0.0,0.0,0.0,0.07,0,0,0,3,1,0,1
Guido Rodríguez,MF,Betis,Argentina,56,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
Kyle Walker,DF,Manchester City,England,236,2.6,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,3,2,0,3
Filip Kostić,DF,Juventus,Serbia,179,2.0,0,0,0.0,0.0,0.0,0.02,0.01,0,0,3,0,3,0,1
Marko Grujić,MF,Porto,Serbia,13,0.1,0,0,0.0,0.0,0.0,0.0,0.26,0,0,1,0,0,0,1
André Onana,GK,Inter,Cameroon,80,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Hiroki Ito,DF,Stuttgart,Japan,45,0.5,0,0,0.0,0.0,0.0,0.09,0.0,0,0,0,0,0,0,0
Roan Wilson,MF,Municipal Grecia,Costa Rica,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
Eden Hazard,MF,Real Madrid,Belgium,124,1.4,0,0,0.0,0.0,0.1,0.01,0.04,0,0,0,1,1,0,0
Edson Álvarez,MF,Ajax,Mexico,175,1.9,0,0,0.0,0.0,0.0,0.11,0.01,1,0,2,4,1,0,2
Steven Vitória,DF,Chaves,Canada,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,3,0,2,2,7
Achraf Hakimi,DF,Paris S-G,Morocco,631,7.0,0,1,0.0,0.14,0.1,0.07,0.02,0,0,17,9,6,1,12
Ali Maâloul,DF,Al Ahly SC,Tunisia,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,2,0,4
Wout Weghorst,FW,Beşiktaş,Netherlands,64,0.7,2,0,2.81,0.0,0.2,0.08,0.52,1,0,0,0,0,1,1
Ante Budimir,FW,Osasuna,Croatia,55,0.6,0,0,0.0,0.0,0.2,0.07,0.37,0,0,1,0,0,0,1
Bailey Wright,DF,Sunderland,Australia,17,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
Craig Goodwin,MF,Adelaide,Australia,234,2.6,1,1,0.38,0.38,0.3,0.25,0.11,0,0,3,0,3,0,3
Anis Ben Slimane,MF,Brøndby,Tunisia,148,1.6,0,0,0.0,0.0,0.1,0.06,0.07,0,0,1,1,2,0,1
Arkadiusz Milik,FW,Juventus,Poland,101,1.1,0,0,0.0,0.0,0.2,0.09,0.22,1,0,0,0,1,0,0
José María Giménez,DF,Atlético Madrid,Uruguay,270,3.0,0,0,0.0,0.0,0.2,0.0,0.06,1,0,1,7,1,5,11
Alexander Bah,DF,Benfica,Denmark,46,0.5,0,0,0.0,0.0,0.1,0.14,0.11,0,0,4,2,2,0,0
Junya Ito,MF,Reims,Japan,324,3.6,0,1,0.0,0.28,0.2,0.07,0.05,0,0,4,5,3,1,6
Kye Rowles,DF,Hearts,Australia,360,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,7,2,7,16
Danilo,DF,Juventus,Brazil,281,3.1,0,0,0.0,0.0,0.0,0.0,0.01,1,0,2,3,1,1,5
Diogo Dalot,DF,Manchester Utd,Portugal,258,2.9,0,2,0.0,0.7,0.0,0.25,0.01,0,0,6,2,5,2,1
Dries Mertens,MF,Galatasaray,Belgium,76,0.8,0,0,0.0,0.0,0.8,0.17,0.94,0,0,0,0,0,0,0
Gareth Bale,FW,Los Angeles FC,Wales,225,2.5,1,0,0.4,0.0,0.8,0.08,0.32,1,0,1,1,1,0,1
Joel Campbell,FW,León,Costa Rica,269,3.0,0,0,0.0,0.0,0.0,0.02,0.0,1,0,5,0,3,0,4
Luuk de Jong,FW,PSV Eindhoven,Netherlands,57,0.6,0,0,0.0,0.0,0.1,0.0,0.25,0,0,1,0,0,0,1
Osman Bukari,MF,Red Star,Ghana,59,0.7,1,0,1.53,0.0,0.5,0.09,0.76,0,0,0,1,0,0,1
Thomas Partey,MF,Arsenal,Ghana,270,3.0,0,0,0.0,0.0,0.2,0.02,0.07,0,0,5,0,6,2,8
Filip Đuričić,MF,Sampdoria,Serbia,14,0.2,0,0,0.0,0.0,0.0,0.23,0.0,0,0,0,0,0,0,0
Gabriel Jesus,FW,Arsenal,Brazil,93,1.0,0,0,0.0,0.0,0.4,0.23,0.35,0,0,1,2,0,0,0
Sebastian Szymański,MF,Feyenoord,Poland,134,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,2,3,1,1
Taha Yassine Khenissi,FW,Kuwait SC,Tunisia,29,0.3,0,0,0.0,0.0,0.0,0.45,0.06,1,0,0,0,0,0,0
İlkay Gündoğan,MF,Manchester City,Germany,189,2.1,1,0,0.48,0.0,1.1,0.05,0.54,0,0,1,1,2,0,1
Alexis Mac Allister,MF,Brighton,Argentina,550,6.1,1,1,0.16,0.16,0.7,0.18,0.12,0,0,4,3,12,1,6
David Raum,DF,RB Leipzig,Germany,242,2.7,0,1,0.0,0.37,0.0,0.22,0.0,0,0,3,7,9,1,2
Jamal Musiala,MF,Bayern Munich,Germany,258,2.9,0,1,0.0,0.35,1.9,0.3,0.67,0,0,1,1,2,1,0
Ousmane Dembélé,FW,Barcelona,France,433,4.8,0,2,0.0,0.42,0.5,0.34,0.1,1,0,6,3,2,0,0
Yasser Al-Shahrani,DF,Al-Hilal,Saudi Arabia,89,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,6,0,0,6
Daizen Maeda,FW,Celtic,Japan,180,2.0,1,0,0.5,0.0,0.5,0.0,0.24,0,0,2,3,4,0,0
Exequiel Palacios,MF,Leverkusen,Argentina,50,0.6,0,0,0.0,0.0,0.1,0.12,0.12,0,0,0,2,0,0,1
Francisco Calvo,DF,Konyaspor,Costa Rica,180,2.0,0,0,0.0,0.0,0.0,0.0,0.01,2,0,4,2,2,1,2
Joachim Andersen,DF,Crystal Palace,Denmark,270,3.0,0,1,0.0,0.33,0.1,0.08,0.03,0,0,2,0,1,1,12
Nahuel Molina,DF,Atlético Madrid,Argentina,567,6.3,1,1,0.16,0.16,0.5,0.05,0.07,0,0,4,3,6,1,11
Renato Steffen,FW,Lugano,Switzerland,32,0.4,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
Ángel Correa,MF,Atlético Madrid,Argentina,5,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
Mohamed Dräger,DF,Luzern,Tunisia,132,1.5,0,0,0.0,0.0,0.2,0.01,0.14,0,0,3,1,0,0,4
Olivier Ntcham,MF,Swansea City,Cameroon,25,0.3,0,0,0.0,0.0,0.0,0.09,0.16,0,0,0,0,0,0,1
Germán Pezzella,DF,Betis,Argentina,60,0.7,0,0,0.0,0.0,0.1,0.0,0.24,1,0,0,0,0,0,0
Majid Hosseini,DF,Kayserispor,IR Iran,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,4,6,1,2,11
Orbelín Pineda,MF,AEK Athens,Mexico,76,0.8,0,0,0.0,0.0,0.3,0.07,0.38,0,0,3,0,2,0,0
Ali Assadalla,MF,Al Sadd SC,Qatar,27,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
Callum Wilson,FW,Newcastle Utd,England,48,0.5,0,1,0.0,1.87,0.0,1.7,0.0,0,0,0,0,0,0,0
Nathaniel Atkinson,DF,Hearts,Australia,84,0.9,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,1,2
Victor Nelsson,DF,Galatasaray,Denmark,90,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1,1,1
Raheem Sterling,FW,Chelsea,England,149,1.7,1,1,0.6,0.6,0.4,0.09,0.22,0,0,1,1,1,0,0
Antoine Griezmann,MF,Atlético Madrid,France,537,6.0,0,3,0.0,0.5,0.7,0.52,0.11,1,0,8,8,5,3,7
Firas Al-Buraikan,MF,Al-Fateh,Saudi Arabia,268,3.0,0,1,0.0,0.34,0.1,0.02,0.04,0,0,3,2,3,2,4
Lionel Messi,FW,Paris S-G,Argentina,690,7.7,7,3,0.91,0.39,6.6,0.36,0.94,1,0,3,0,2,0,0
Nico Williams,FW,Athletic Club,Spain,146,1.6,0,0,0.0,0.0,0.1,0.0,0.07,0,0,2,0,2,0,0
Paulo Dybala,FW,Roma,Argentina,18,0.2,0,0,0.0,0.0,0.0,1.03,0.0,0,0,1,0,0,0,1
Fabian Rieder,FW,Young Boys,Switzerland,68,0.8,0,0,0.0,0.0,0.0,0.25,0.0,1,0,2,0,2,0,1
Famara Diedhiou,FW,Alanyaspor,Senegal,92,1.0,1,0,0.98,0.0,0.2,0.03,0.19,0,0,0,0,0,0,2
Jude Bellingham,MF,Dortmund,England,414,4.6,1,1,0.22,0.22,0.6,0.07,0.12,0,0,15,5,10,0,0
Kamil Glik,DF,Benevento,Poland,360,4.0,0,0,0.0,0.0,0.2,0.0,0.06,0,0,1,3,1,1,23
Alistair Johnston,DF,CF Montréal,Canada,270,3.0,0,0,0.0,0.0,0.8,0.06,0.27,1,0,3,2,5,1,4
Fodé Ballo-Touré,DF,Milan,Senegal,7,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
Joakim Mæhle,DF,Atalanta,Denmark,249,2.8,0,0,0.0,0.0,0.0,0.01,0.01,0,0,5,2,4,3,6
Youssef Msakni,MF,Al-Arabi SC,Tunisia,169,1.9,0,0,0.0,0.0,0.5,0.34,0.29,0,0,1,0,1,1,1
Jack Grealish,FW,Manchester City,England,86,1.0,1,0,1.05,0.0,0.6,0.12,0.69,0,0,1,3,2,0,1
Kasper Schmeichel,GK,Nice,Denmark,270,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Kudus Mohammed,FW,Ajax,Ghana,247,2.7,2,0,0.73,0.0,0.8,0.0,0.3,1,0,4,1,4,0,0
Nico Elvedi,DF,M'Gladbach,Switzerland,180,2.0,0,0,0.0,0.0,0.1,0.0,0.04,1,0,0,1,2,3,13
André Silva,FW,RB Leipzig,Portugal,26,0.3,0,0,0.0,0.0,0.0,0.21,0.0,0,0,0,0,0,0,0
Bryan Ruiz,MF,Liga Deportiva Alajuelense,Costa Rica,30,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
Gonzalo Plata,MF,Valladolid,Ecuador,269,3.0,0,0,0.0,0.0,0.1,0.06,0.05,0,0,2,2,3,0,0
Noa Lang,MF,Club Brugge,Netherlands,8,0.1,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,1
Ismail Mohamad,FW,Al Duhail SC,Qatar,174,1.9,0,1,0.0,0.52,0.0,0.0,0.0,1,0,2,2,0,0,0
Kevin Rodríguez,FW,N/A,Ecuador,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Yahya Jabrane,MF,Wydad Casablanca,Morocco,15,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
Pablo Sarabia,FW,Paris S-G,Spain,3,0.0,0,0,0.0,0.0,0.1,0.0,0.0,0,0,0,0,0,0,0
